# Ubmax_nK Ubmax_SEU Critical_Omega_R
30.6600 290.4970 0.6100
30.7000 290.8760 0.6100
30.7400 291.2550 0.6100
30.7800 291.6340 0.6100
30.8200 292.0129 0.6100
30.8600 292.3919 0.6100
30.9000 292.7709 0.6000
30.9400 293.1499 0.6000
30.9800 293.5289 0.6000
31.0200 293.9079 0.6000
31.0600 294.2869 0.6000
31.1000 294.6659 0.6000
31.1400 295.0449 0.6000
31.1800 295.4239 0.6000
31.2200 295.8029 0.6000
31.2600 296.1819 0.6000
31.3000 296.5608 0.6000
31.3400 296.9398 0.6000
31.3800 297.3188 0.5600
31.4200 297.6978 0.5600
31.4600 298.0768 0.5600
31.5000 298.4558 0.5600
31.5400 298.8348 0.5600
31.5800 299.2138 0.5600
31.6200 299.5928 0.5600
31.6600 299.9718 0.5600
31.7000 300.3508 0.5500
31.7400 300.7298 0.5500
31.7800 301.1087 0.5500
31.8200 301.4877 0.5500
31.8600 301.8667 0.5500
31.9000 302.2457 0.5500
31.9400 302.6247 0.5500
31.9800 303.0037 0.5500
32.0200 303.3827 0.5400
32.0600 303.7617 0.5400
32.1000 304.1407 0.5400
32.1400 304.5197 0.5400
32.1800 304.8987 0.5400
32.2200 305.2776 0.5400
32.2600 305.6566 0.5400
32.3000 306.0356 0.5400
32.3400 306.4146 0.5400
32.3800 306.7936 0.5300
32.4200 307.1726 0.5300
32.4600 307.5516 0.5300
32.5000 307.9306 0.5300
32.5400 308.3096 0.5200
32.5800 308.6886 0.5200
32.6200 309.0676 0.5200
32.6600 309.4466 0.5200
32.7000 309.8255 0.5200
32.7400 310.2045 0.5200
32.7800 310.5835 0.5200
32.8200 310.9625 0.5200
32.8600 311.3415 0.5200
32.9000 311.7205 0.5200
32.9400 312.0995 0.5200
32.9800 312.4785 0.5200
33.0200 312.8575 0.5200
33.0600 313.2365 0.5200
33.1000 313.6155 0.5200
33.1400 313.9945 0.5200
33.1800 314.3734 0.5200
33.2200 314.7524 0.5200
33.2600 315.1314 0.5200
33.3000 315.5104 0.5200
33.3400 315.8894 0.5100
33.3800 316.2684 0.5100
33.4200 316.6474 0.5100
33.4600 317.0264 0.5100
33.5000 317.4054 0.5100
33.5400 317.7844 0.5100
33.5800 318.1634 0.5100
33.6200 318.5424 0.5100
33.6600 318.9213 0.5100
33.7000 319.3003 0.5100
33.7400 319.6793 0.5100
33.7800 320.0583 0.5100
33.8200 320.4373 0.5100
33.8600 320.8163 0.5100
33.9000 321.1953 0.5100
33.9400 321.5743 0.5100
33.9800 321.9533 0.5100
34.0200 322.3323 0.5000
34.0600 322.7113 0.5000
34.1000 323.0902 0.5000
34.1400 323.4692 0.5000
34.1800 323.8482 0.5000
34.2200 324.2272 0.5000
34.2600 324.6062 0.5000
34.3000 324.9852 0.5000
34.3400 325.3642 0.5000
34.3800 325.7432 0.5000
34.4200 326.1222 0.5000
34.4600 326.5012 0.5000
34.5000 326.8802 0.4900
34.5400 327.2592 0.4900
34.5800 327.6381 0.4900
34.6200 328.0171 0.4900
34.6600 328.3961 0.4900
34.7000 328.7751 0.4900
34.7400 329.1541 0.4900
34.7800 329.5331 0.4900
34.8200 329.9121 0.4900
